type,resource_type,resource_status,recommendation,tags,expected_duration,locale,name,creator,description,thumbnail,link,online_link,registration_link,event_address,date_from,date_to
,,,,,,en,Love Is Not Selfish,Walking In Grace / Richard Caldwell,"What if love isn’t about you? In a world that tells us to put ourselves first, Scripture calls us to something radically different—a love that reflects Christ, prioritizes others, and pursues what is eternally good. This series will challenge you to examine your heart and live out a love that reveals the reality of Jesus. Are you ready?",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F58021%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/58021-love-is-not-selfish,,,,,
resource,reading_plan,,9,,8,,,,,,,,,,,
,,,,,,en,Wonder of Grace,Freedom In Christ Ministries,"Discover the Wonder of Grace through this 8-day Reading Plan that offers discussion, reflection, and prayer. Explore what Grace is, and how God views you, examine your motivations, uncover the possibilities of change, face your fears, examine your purpose, and make your life truly count. Through reflections and prayer, this short Plan will help you define Grace and embark on an even deeper journey with Him.",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F50813%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/50813-wonder-of-grace,,,,,
resource,reading_plan,,9,,5,,,,,,,,,,,
,,,,,,en,The Role of Forgiveness When You’re Building a Friends-First Relationship,FrontGate Media,"Forgiveness is one of the most powerful tools God gives us for building deep, meaningful relationships. When you’re starting as friends, imperfections and misunderstandings will inevitably show up. After all, you’re both human. What matters is how you respond to these moments. In this 5-day devotional, we’re sharing the role of forgiveness when starting as friends first.",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F54595%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/54595-the-role-of-forgiveness-when-youre-building,,,,,
resource,reading_plan,,9,,5,,,,,,,,,,,
,,,,,,en,Cut the Criticism and Cultivate Companionship in Your Marriage,Awesome Marriage,"Does your critical spirit crush your spouse or rob your marriage of companionship? Has your spouse said you are critical? Constantly judging yourself and others will hold you back from being fully vulnerable and transparent with your spouse. God has better for your marriage. In this 5-day plan by Tiffany Miller, we take a biblical look at how to cut the criticism and cultivate companionship. ",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F39397%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/39397-cut-the-criticism-and-cultivate-companionship-in,,,,,
resource,reading_plan,,9,,7,,,,,,,,,,,
,,,,,,en,7 Days Empowered by Grace,Christ Uncensored House Of Worship,"7 Days Empowered by Grace is a short but powerful Devotional that will help you experience God’s Grace in a real and personal way. In just seven days, you’ll see how His Grace isn’t just a nice idea—it’s the Life-Changing Power in your daily life.",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F56890%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/56890-7-days-empowered-by-grace,,,,,
resource,reading_plan,,9,,6,,,,,,,,,,,
,,,,,,en,Love Is Not Provoked,Walking In Grace / Richard Caldwell,"Are you easily irritated, quick to anger, or hard to approach? Scripture teaches that love is not provoked—it is patient, kind, and selfless. This series will help you recognize irritability as sin, understand its selfish roots, and replace it with Christlike love. True transformation begins when we submit to God and let His love reshape our hearts.",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F58102%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/58102-love-is-not-provoked,,,,,
resource,reading_plan,,9,,5,,,,,,,,,,,
,,,,,,en,Dear Child: Letters From the One Who Knows You Best,Andrew Farley,"If God wrote you a letter, what would He say? In this tender and truth-filled 5-day plan, pastor and author Dr. Andrew Farley invites you to experience the heart of your Heavenly Father in a deeply personal way. Through beautifully written devotionals, you’ll hear His voice speaking directly to your soul—calling you holy, whole, forgiven, and free. Whether you feel close to God or far away, these love letters from the One who knows you best will refresh your heart and awaken you to your unshakable identity in Christ.",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F61490%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/61490-dear-child-letters-from-the-one-who-knows-you-best,,,,,
resource,reading_plan,,9,,4,,,,,,,,,,,
,,,,,,en,Mister Rogers And The Call To Create,Jordan Raynor,"This 4-day plan weaves Scripture together with Mister Rogers’s own words to show how the redemptive work of Christ led Rogers to embrace his own vocation as a means of redeeming television. As we will see modeled in the life of Rogers, the gospel changes everything about our work, from our motivations for work, to what we create, to how we work each day.",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F13979%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/13979-the-redemptive-work-of-mister-rogers,,,,,
resource,reading_plan,,9,,5,,,,,,,,,,,
,,,,,,en,Love,The Lockman Foundation,"Explore the transformative power of God's love through these devotionals. Learn about loving your enemies, the unbreakable bond of God's love, and the command to love one another. Each devotional, grounded in Scripture, guides you to a deeper understanding and practical application of Christ-like love in everyday life",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F47513%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/47513-love,,,,,
resource,reading_plan,,9,,8,,,,,,,,,,,
